,Price,Year,Mileage,Tank capacity,Fuel type,Model,Estimation
666,23700,2010,234000,1968,7,16,0
667,106799,2019,119961,1968,7,32,2
668,55400,2014,161732,1968,7,44,1
669,79900,1989,70235,2109,1,48,0
670,20541,2009,140000,1968,7,7,2
672,33900,2014,305000,1197,1,16,2
673,199899,2021,17839,1984,1,44,2
675,70000,2015,115000,1395,1,10,2
676,68900,2017,113248,1984,1,44,2
677,56600,2018,46616,999,1,35,3
678,142800,2018,119100,1984,1,2,3
679,18900,2008,225900,1968,7,32,2
680,15900,2008,206000,1896,7,16,2
681,91900,2017,144600,1968,7,32,3
682,48800,2018,152000,1598,7,16,1
683,16000,2008,74946,1198,1,35,2
684,18500,2008,282000,1968,7,16,2
685,122900,2018,167020,1968,7,2,2
686,149900,2016,179000,1968,7,30,2
687,99900,2016,80170,1968,7,32,2
688,53900,2015,181773,1968,7,47,2
689,87000,2017,86482,1968,7,32,2
690,69000,2016,76163,1395,1,16,3
691,20900,2011,209000,1199,7,35,2
692,18900,2006,209025,1598,1,16,0
693,82000,2014,303000,1999,7,48,2
694,47600,2016,166000,1986,7,16,1
695,14800,2014,221411,1598,7,35,0
696,19900,2011,273000,1199,7,35,2
697,48000,2014,171417,1968,7,32,2
